Area,Activity Group,Activity,Type,Definition
Revenue,Wallet Transfer,Cross-Border Transfer,FX - User Exchange Difference,"In Argentina, multiple exchange rates operate alongside the official rate, reflecting the true market value of the currency. When a User performs a Cross-Border transfer to a CVU User, AstroPay applies an FX spread to the official rate, generating revenue. However, an additional revenue (or loss) arises from the difference between the official rate and the parallel market rate. This FX - User Exchange Difference revenue specifically captures the gain or loss resulting from this gap between the official and parallel rates. The true FX revenue in these markets is determined by the spread between the parallel rate and AstroPay’s FX rate."
Revenue,Wallet Transfer,Cross-Border Transfer,User Fee,"A fee that may be charged to users when transferring funds from their AstroPay account to a recipient outside the AstroPay ecosystem, utilizing external payment systems such as Brazil's Pix or Argentina's Clave Virtual Uniforme (CVU). This fee covers the costs associated with processing cross-border transactions through these external networks."
Revenue,Wallet Transfer,P2P Transfer,FX - User Exchange Difference,"In countries with parallel FX markets, such as Argentina and Nigeria, multiple exchange rates operate alongside the official rate, reflecting the true market value of the currency. When a User performs a P2P transfer, AstroPay applies an FX spread to the official rate, generating revenue. However, an additional revenue (or loss) arises from the difference between the official rate and the parallel market rate. This FX - User Exchange Difference revenue specifically captures the gain or loss resulting from this gap between the official and parallel rates. The true FX revenue in these markets is determined by the spread between the parallel rate and AstroPay’s FX rate."
Revenue,Wallet Transfer,Cross-Border Transfer,FX - User,"Revenue generated when a user transfers funds from their AstroPay account to an external recipient in a different country, requiring a currency conversion. A spread is applied to the exchange rate, representing AstroPay’s earnings from the transaction. Cross-border transfers allow users to send money internationally through payment networks such as Pix in Brazil or Clave Virtual Uniforme (CVU) in Argentina."
Revenue,Wallet Transfer,P2P Transfer,User Fee,"This fee may be applied when a user sends money to another AstroPay user, covering the cost of transactions."
Revenue,Wallet Transfer,P2P Transfer,FX - User,"Revenue generated when a user makes a P2P transfer, and the funds are converted from one currency to another. A currency exchange is performed, and a spread is applied to the exchange rate, representing the earnings from the conversion."
Revenue,Wallet Transfer,Withdrawal,FX - User Exchange Fee,"In countries with parallel FX markets, such as Argentina and Nigeria, multiple exchange rates operate alongside the official rate, reflecting the true market value of the currency. When a User performs a withdrawal on a currency that differs from their local currency, AstroPay applies an FX spread to the official rate, generating revenue. However, an additional revenue (or loss) arises from the difference between the official rate and the parallel market rate. This FX - User Exchange Difference revenue specifically captures the gain or loss resulting from this gap between the official and parallel rates. The true FX revenue in these markets is determined by the spread between the parallel rate and AstroPay’s FX rate."
Revenue,Wallet Transfer,Withdrawal,User Fee,"A fee that may be charged to users when withdrawing funds from their AstroPay wallet to their bank account. This fee can vary depending on the payment method and market regulations, and it includes specific charges such as the IOF tax in Brazil."
Revenue,Wallet Transfer,Withdrawal,FX - User,"Revenue generated when a user withdraws funds from their AstroPay wallet to their bank account, and the wallet balance is not in the user’s local currency. AstroPay converts the funds to the local currency and applies a spread to the exchange rate."
Revenue,Wallet Transfer,,,"Encompasses all outbound transfers initiated from a user’s AstroPay wallet to other users, external bank accounts, or local payment rails."
Revenue,Wallet Transfer,Withdrawal,,When a user initiates a withdrawal from their AstroPay wallet to their registered bank account.
Revenue,Wallet Transfer,P2P Transfer,,When a user transfers funds directly to another user within the AstroPay ecosystem.
Revenue,Wallet Transfer,Cross-Border Transfer,,"When a user sends funds from their AstroPay wallet to an external recipient in another country via localized payment networks (e.g., PIX in Brazil, CVU in Argentina)."
Revenue,Wallet Payment,Merchant Referral,Fee,"A revenue share received from merchants, for users who access their services through AstroPay. This fee compensates us for referring and facilitating user transactions on their platforms."
Revenue,Wallet Payment,Merchant Settlement,FX - Merchant Exchange Difference,"In Argentina, certain merchants with panels in ARS receive settlements in Euros. The settlement process involves converting ARS to USD at the official exchange rate and then to Euros. Due to the coexistence of official and parallel FX rates, this revenue represents the difference between the official exchange rate and the parallel market rate during the currency conversion process."
Revenue,Wallet Payment,Merchant Settlement,Fee,"This revenue is generated when AstroPay processes merchant settlements. The fee is applied based on the settlement amount: $250 for settlements below $12,000 USD, $90 for settlements between $12,000 and $100,000 USD and no fee for settlements exceeding $100,000 USD. This fee compensates for the administrative and operational costs of processing settlements."
Revenue,Wallet Payment,Merchant Settlement,EUR-USD Exchange,"This revenue is generated from currency conversions during merchant settlements. Although merchant balances are typically held in USD on the AstroPay panel, settlements are often paid in Euros. AstroPay converts the USD balance to Euros at its FX rate, applying a spread over the market exchange rate. The revenue comes from this FX spread."
Revenue,Wallet Payment,Merchant Withdrawal,FX - Merchant Exchange Difference,"This revenue is generated in markets with parallel FX markets, such as Argentina and Nigeria, where multiple exchange rates exist in addition to the official rate. Like the FX - User exchange difference, when AstroPay processes merchant payments or withdrawals in these markets, an FX spread is applied to the official exchange rate. However, there is also a discrepancy between the official rate and the parallel market rate. The true FX revenue in this case is derived from the spread between the parallel market rate and AstroPay's FX rate, applied to merchant transactions. The resulting difference generates either a gain or a loss, depending on the movement of these exchange rates."
Revenue,Wallet Payment,Merchant Withdrawal,FX - User Exchange Difference,"In countries with parallel FX markets, such as Argentina and Nigeria, multiple exchange rates operate alongside the official rate, reflecting the true market value of the currency. When processing merchant withdrawals, AstroPay applies an FX spread to the official rate, generating revenue. However, an additional revenue (or loss) arises from the difference between the official rate and the parallel market rate. This FX - User Exchange Difference revenue specifically captures the gain or loss resulting from this gap between the official and parallel rates. The true FX revenue in these markets is determined by the spread between the parallel rate and AstroPay’s FX rate."
